# novoalign -d 280_flxplus.ndx -f ../analysis/fastqc/454Junior-both.fastq -g 20 -x 5 -n 300 -o SAM -K 454Junior-both.qcal.csv --hpstats 454Junior-both.indel.csv 
#HPCOUNTS
Q/T	Length	Count
0	1	41139575
0	2	11031817
0	3	2635532
0	4	706557
0	5	209365
0	6	59543
0	7	16252
0	8	2731
0	9	316
1	1	41067605
1	2	11016238
1	3	2622694
1	4	690672
1	5	219075
1	6	61967
1	7	14985
1	8	2780
1	9	332
#XYCOUNTS
X	Y	Reads	D	D0	I0	I
0	0	411	119	4	186	131
0	50	381	87	3	180	146
0	100	444	109	3	184	142
0	150	447	105	8	156	114
0	200	453	110	4	133	176
0	250	452	102	3	212	125
0	300	360	70	0	210	138
0	350	399	66	5	158	105
0	400	441	103	4	180	138
0	450	452	75	1	165	144
0	500	464	106	3	169	153
0	550	492	92	0	186	186
0	600	481	85	3	238	182
0	650	430	80	3	148	184
0	700	461	57	4	178	173
0	750	478	84	5	187	161
0	800	464	66	3	183	167
0	850	452	80	10	159	154
0	900	465	79	9	143	142
0	950	459	76	2	185	144
0	1000	432	81	5	161	174
0	1050	451	77	3	147	135
0	1100	467	76	4	182	146
0	1150	445	76	7	167	163
0	1200	435	78	4	147	141
0	1250	424	82	8	223	156
0	1300	465	71	2	178	170
0	1350	453	88	6	180	165
0	1400	426	72	6	145	125
0	1450	472	97	9	180	166
0	1500	465	105	6	201	167
0	1550	442	74	3	175	137
0	1600	422	82	2	180	149
0	1650	436	113	19	241	185
0	1700	424	96	4	177	144
0	1750	416	86	11	193	140
0	1800	425	132	10	207	159
0	1850	440	101	2	177	160
0	1900	349	74	11	140	128
0	1950	136	41	7	119	57
0	2000	90	39	3	84	31
50	0	407	126	2	130	150
50	50	450	104	5	135	128
50	100	438	126	3	138	167
50	150	474	123	3	152	126
50	200	490	110	5	119	127
50	250	469	125	3	92	89
50	300	442	80	3	147	163
50	350	443	101	5	239	170
50	400	450	75	5	159	136
50	450	497	82	2	127	124
50	500	461	96	4	155	142
50	550	490	107	4	112	161
50	600	463	72	2	174	139
50	650	474	86	4	160	161
50	700	465	81	1	157	179
50	750	455	73	2	104	126
50	800	443	78	8	166	171
50	850	455	70	2	112	143
50	900	461	88	3	157	157
50	950	451	79	2	165	169
50	1000	441	55	16	128	130
50	1050	408	59	1	154	144
50	1100	463	87	3	188	175
50	1150	442	52	2	151	141
50	1200	463	62	2	170	173
50	1250	457	62	0	199	161
50	1300	464	60	1	181	169
50	1350	461	67	4	133	135
50	1400	444	74	0	187	132
50	1450	457	60	1	173	163
50	1500	446	75	1	211	196
50	1550	432	44	2	203	206
50	1600	461	63	1	210	162
50	1650	445	72	5	153	145
50	1700	435	62	3	175	147
50	1750	412	67	3	188	151
50	1800	436	69	0	183	167
50	1850	409	64	2	226	142
50	1900	407	68	6	230	164
50	1950	373	75	4	208	146
50	2000	128	41	5	95	59
100	0	414	90	8	129	122
100	50	451	127	13	103	143
100	100	445	129	12	121	121
100	150	480	118	0	124	154
100	200	473	128	4	130	153
100	250	473	89	3	104	131
100	300	460	108	3	90	105
100	350	447	77	2	156	146
100	400	447	79	1	140	141
100	450	438	72	1	115	131
100	500	467	91	3	107	123
100	550	473	101	5	156	161
100	600	439	89	5	122	151
100	650	449	90	0	128	143
100	700	453	80	7	121	151
100	750	471	89	5	121	123
100	800	454	92	3	164	153
100	850	446	62	2	139	146
100	900	444	90	2	161	142
100	950	444	79	1	159	157
100	1000	462	118	7	162	150
100	1050	475	60	1	175	185
100	1100	430	86	3	159	130
100	1150	456	80	3	166	165
100	1200	460	87	3	172	161
100	1250	475	66	2	195	177
100	1300	494	78	6	179	175
100	1350	504	85	3	190	146
100	1400	464	65	0	174	150
100	1450	471	70	1	167	145
100	1500	468	67	2	170	159
100	1550	435	65	5	141	134
100	1600	483	87	5	203	168
100	1650	460	85	4	147	136
100	1700	429	56	4	165	133
100	1750	435	76	2	242	166
100	1800	448	78	8	244	149
100	1850	467	72	4	206	189
100	1900	472	102	1	208	151
100	1950	398	61	2	186	148
100	2000	390	92	13	264	149
150	0	434	121	5	117	136
150	50	458	134	3	113	137
150	100	437	151	1	122	132
150	150	467	135	8	139	113
150	200	501	137	3	148	138
150	250	457	94	5	101	117
150	300	501	106	5	148	134
150	350	451	83	10	151	163
150	400	449	94	3	113	152
150	450	456	108	1	167	141
150	500	474	96	7	171	175
150	550	478	64	1	127	171
150	600	445	83	6	164	180
150	650	485	116	5	169	158
150	700	446	66	2	119	124
150	750	463	67	1	135	142
150	800	424	84	8	168	141
150	850	461	69	2	187	173
150	900	433	70	3	154	123
150	950	450	59	2	133	137
150	1000	450	63	6	174	192
150	1050	434	82	0	188	153
150	1100	430	73	4	224	171
150	1150	454	85	2	161	148
150	1200	432	54	0	147	140
150	1250	473	70	7	132	141
150	1300	462	78	4	120	148
150	1350	461	58	2	173	182
150	1400	459	82	3	192	177
150	1450	448	57	5	139	128
150	1500	459	64	4	175	161
150	1550	467	48	3	133	152
150	1600	467	67	6	151	145
150	1650	486	104	6	176	152
150	1700	451	77	3	222	174
150	1750	461	64	6	173	181
150	1800	460	73	4	174	138
150	1850	465	53	3	211	181
150	1900	482	86	5	216	176
150	1950	459	54	3	209	128
150	2000	409	61	3	202	160
200	0	451	134	1	112	153
200	50	446	106	4	128	157
200	100	489	156	2	116	159
200	150	452	134	7	112	110
200	200	456	135	4	115	106
200	250	463	106	14	135	157
200	300	422	90	4	128	140
200	350	475	141	6	154	151
200	400	472	125	5	137	140
200	450	459	86	2	124	134
200	500	462	108	3	140	166
200	550	484	86	9	121	147
200	600	475	114	3	148	142
200	650	481	71	4	176	184
200	700	477	100	2	195	182
200	750	473	106	4	217	186
200	800	466	81	1	159	171
200	850	476	84	6	157	171
200	900	431	65	4	209	169
200	950	467	99	2	196	182
200	1000	442	67	6	196	187
200	1050	430	110	5	211	152
200	1100	441	68	6	181	150
200	1150	450	66	4	185	163
200	1200	438	61	6	133	170
200	1250	484	79	4	142	158
200	1300	430	52	3	158	132
200	1350	482	65	4	164	110
200	1400	457	84	8	157	128
200	1450	447	60	1	161	158
200	1500	470	84	0	196	180
200	1550	479	63	4	211	176
200	1600	456	64	1	144	156
200	1650	470	76	5	191	171
200	1700	451	46	1	183	157
200	1750	479	42	2	190	181
200	1800	492	73	5	231	195
200	1850	469	52	1	161	172
200	1900	449	59	3	227	181
200	1950	455	74	3	176	145
200	2000	441	86	8	206	147
250	0	468	132	3	105	157
250	50	485	136	6	108	126
250	100	490	128	4	126	119
250	150	433	137	5	126	121
250	200	478	154	3	165	142
250	250	428	86	11	134	166
250	300	449	99	4	158	116
250	350	447	94	8	148	159
250	400	459	96	6	132	132
250	450	439	88	8	150	157
250	500	448	95	3	117	123
250	550	472	115	2	185	176
250	600	461	76	2	124	154
250	650	463	93	1	167	180
250	700	452	78	5	144	157
250	750	480	87	2	156	193
250	800	455	86	3	152	169
250	850	438	77	3	158	160
250	900	410	71	3	147	122
250	950	438	68	2	185	176
250	1000	432	81	1	181	179
250	1050	434	61	5	197	170
250	1100	419	53	5	194	163
250	1150	425	53	1	153	167
250	1200	434	65	4	230	203
250	1250	419	60	0	210	176
250	1300	434	54	2	152	147
250	1350	427	61	0	160	166
250	1400	466	70	1	195	154
250	1450	474	65	4	179	142
250	1500	444	65	1	176	158
250	1550	496	88	2	191	177
250	1600	460	70	3	190	149
250	1650	457	70	5	176	112
250	1700	443	47	0	182	168
250	1750	477	81	2	214	197
250	1800	311	31	1	155	144
250	1850	298	36	2	143	137
250	1900	453	78	4	250	179
250	1950	463	64	6	200	128
250	2000	484	57	5	318	236
300	0	470	117	3	114	143
300	50	487	129	10	124	176
300	100	456	144	1	132	126
300	150	465	147	5	117	149
300	200	426	122	5	115	122
300	250	449	104	3	160	143
300	300	483	103	10	132	163
300	350	464	136	2	187	176
300	400	463	117	2	176	145
300	450	496	109	4	187	121
300	500	466	93	4	154	168
300	550	435	74	6	130	169
300	600	465	104	6	128	137
300	650	458	90	4	155	172
300	700	433	66	4	154	159
300	750	453	112	3	169	168
300	800	432	55	0	145	144
300	850	443	69	3	210	162
300	900	458	75	1	204	141
300	950	446	57	1	180	175
300	1000	466	79	4	174	193
300	1050	436	48	7	231	178
300	1100	417	46	3	229	189
300	1150	440	69	2	208	213
300	1200	424	75	5	185	175
300	1250	450	52	0	192	167
300	1300	427	42	3	179	171
