# novoalign -d 280_flxplus.ndx -f ../analysis/fastqc/IonTorrent-both.fastq -g 20 -x 5 -n 300 -o SAM -K IonTorrent-both.qcal.csv --hpstats IonTorrent-both.indel.csv 
#HPCOUNTS
Q/T	Length	Count
0	1	256991704
0	2	68604640
0	3	16231067
0	4	4190722
0	5	1228223
0	6	314737
0	7	69853
0	8	13867
0	9	7423
1	1	255876638
1	2	68011415
1	3	16201799
1	4	4306218
1	5	1381618
1	6	396658
1	7	99855
1	8	19481
1	9	2476
#XYCOUNTS
X	Y	Reads	D	D0	I0	I
0	0	3	3	1	0	3
0	50	161	218	36	94	64
0	100	490	620	77	196	157
0	150	977	962	127	227	355
0	200	1028	969	222	302	345
0	250	1263	967	215	447	541
0	300	1496	1005	148	272	438
0	350	1649	1065	154	222	413
0	400	1699	1063	109	235	391
0	450	1626	1121	135	195	409
0	500	845	681	65	161	278
0	550	891	563	48	174	332
0	600	860	725	61	187	272
0	650	866	616	95	133	353
0	700	1414	1248	208	301	623
0	750	1480	1360	151	244	540
0	800	1438	1153	146	300	524
0	850	1460	1163	151	274	619
0	900	1406	1303	201	372	679
0	950	1340	907	77	216	386
0	1000	879	555	35	103	265
0	1050	408	385	57	37	258
0	1100	10	8	1	5	9
0	1150	119	94	4	14	31
0	1200	550	370	31	58	222
0	1250	839	611	116	129	398
0	1300	910	842	214	128	386
0	1350	405	526	176	53	313
50	0	194	177	24	49	40
50	50	79	55	9	16	18
50	100	214	199	31	43	51
50	150	928	954	123	264	256
50	200	1211	1126	130	423	397
50	250	1341	1413	222	847	821
50	300	1207	994	124	410	386
50	350	1374	1217	118	318	368
50	400	1524	1242	141	364	519
50	450	1556	1100	137	419	538
50	500	1247	1091	109	415	560
50	550	942	995	83	341	330
50	600	987	976	111	317	474
50	650	1447	1352	206	543	866
50	700	1686	1742	232	634	908
50	750	1735	2098	252	659	883
50	800	1735	1982	228	646	917
50	850	1726	1958	251	526	1053
50	900	1725	2147	354	716	969
50	950	1707	1496	210	728	1046
50	1000	1552	1163	143	394	695
50	1050	1020	1063	124	261	417
50	1100	888	957	111	193	387
50	1150	984	981	164	157	454
50	1200	1050	1218	128	187	444
50	1250	1522	1669	338	338	981
50	1300	1728	1871	215	515	803
50	1350	1626	1589	184	376	732
50	1400	883	675	79	184	486
50	1450	248	143	21	45	246
50	1500	28	14	6	4	48
100	0	805	929	188	247	378
100	50	213	151	23	88	63
100	100	333	316	35	79	73
100	150	1098	1213	140	311	320
100	200	1521	1523	175	526	548
100	250	1659	1810	237	659	756
100	300	1675	1725	305	701	878
100	350	1670	1755	306	805	1099
100	400	1642	1932	280	912	1125
100	450	1595	1956	312	940	1133
100	500	1455	1626	252	713	1037
100	550	1548	1622	264	739	1190
100	600	1495	1677	278	834	1328
100	650	1570	1990	309	838	1224
100	700	1692	2134	309	948	1278
100	750	1751	2092	322	935	1319
100	800	1729	2184	315	844	1321
100	850	1753	2174	314	779	1347
100	900	1666	2258	339	848	1265
100	950	1753	2139	395	895	1457
100	1000	1734	1540	231	730	1259
100	1050	1467	1360	175	499	893
100	1100	926	1122	141	393	568
100	1150	926	1003	115	386	739
100	1200	1511	1751	355	745	1473
100	1250	1618	2011	303	774	1348
100	1300	1651	2086	299	768	1353
100	1350	1635	2042	283	782	1289
100	1400	1751	1994	233	601	1083
100	1450	1709	1742	203	462	875
100	1500	1680	1427	180	382	948
100	1550	1162	904	116	201	729
100	1600	781	480	67	159	444
100	1650	620	307	59	70	504
100	1700	40	15	1	5	79
150	0	1726	1583	311	632	959
150	50	1162	1103	145	327	355
150	100	1160	1155	117	308	322
150	150	1712	1708	161	514	485
150	200	1638	1626	191	535	586
150	250	1775	1852	236	745	801
150	300	1737	1677	214	811	939
150	350	1825	1965	272	855	1181
150	400	1810	2390	319	879	1183
150	450	1817	2013	317	906	1386
150	500	1724	2048	305	963	1280
150	550	1498	1907	358	784	1328
150	600	1575	2017	338	972	1567
150	650	1510	2004	334	917	1387
150	700	1499	2026	304	856	1438
150	750	1466	2046	317	861	1192
150	800	1545	2095	268	909	1331
150	850	1520	2097	293	770	1176
150	900	1535	2133	322	822	1363
150	950	1435	1920	315	868	1357
150	1000	1559	2049	355	885	1498
150	1050	1613	1982	317	809	1692
150	1100	1631	2028	353	814	1655
150	1150	1683	2119	357	894	1663
150	1200	1627	1989	293	861	1587
150	1250	1570	1733	309	819	1602
150	1300	1501	1827	294	928	1588
150	1350	1492	1882	278	889	1588
150	1400	1595	2210	315	893	1461
150	1450	1570	1950	296	855	1316
150	1500	1649	2085	282	774	1237
150	1550	1734	2132	235	732	1096
150	1600	1793	1729	236	640	1214
150	1650	1810	1820	211	542	1107
150	1700	1648	1296	220	415	1068
150	1750	1333	934	118	226	778
150	1800	687	323	49	80	471
200	0	1655	1549	289	508	741
200	50	1797	1582	198	476	618
200	100	1913	1673	196	546	713
200	150	1965	1864	191	616	684
200	200	1780	1850	188	542	629
200	250	1558	1525	162	598	723
200	300	1687	1943	220	747	837
200	350	1777	1910	296	740	1219
200	400	1817	2007	282	664	1253
200	450	1709	1968	345	730	1235
200	500	1641	1951	308	801	1429
200	550	1588	1934	331	829	1473
200	600	1571	1926	337	837	1600
200	650	1559	1927	321	874	1685
200	700	1438	1798	332	795	1464
200	750	1376	1717	289	711	1473
200	800	1520	1943	329	908	1590
200	850	1498	1853	301	807	1480
200	900	1497	1919	290	741	1461
200	950	1578	1960	329	795	1537
200	1000	1556	2122	346	772	1587
200	1050	1477	2011	320	811	1399
200	1100	1557	2105	344	866	1563
200	1150	1511	1909	306	782	1576
200	1200	1585	2058	344	730	1570
200	1250	1520	1954	322	776	1344
200	1300	1520	1877	324	830	1529
200	1350	1602	1941	311	808	1684
200	1400	1604	2002	279	753	1515
200	1450	1681	2171	329	617	1583
200	1500	1662	1797	295	765	1646
200	1550	1708	2101	300	708	1466
200	1600	1679	1768	278	744	1623
200	1650	1614	1860	274	767	1443
200	1700	1705	1747	267	781	1547
200	1750	1768	2105	270	529	1197
200	1800	1769	1612	222	427	1014
200	1850	1613	1172	147	299	845
200	1900	934	505	60	138	415
200	1950	66	28	5	10	69
250	0	1447	1274	209	441	730
250	50	1713	1527	171	502	726
250	100	1855	1703	202	558	809
250	150	1795	1877	212	550	690
250	200	1845	2112	271	692	775
250	250	1446	1699	170	489	516
250	300	1427	1511	179	498	647
250	350	1742	1931	303	628	1070
250	400	1593	1940	254	628	1161
250	450	1691	1925	303	681	1391
250	500	1566	2062	299	728	1215
250	550	1548	1649	333	790	1721
250	600	1514	1781	285	680	1612
250	650	1443	1937	297	720	1303
250	700	1535	1893	321	733	1563
250	750	1491	1927	326	736	1566
250	800	1513	1922	330	787	1622
250	850	1523	1911	297	732	1549
250	900	1528	1953	345	845	1573
250	950	1477	1910	342	691	1594
250	1000	1547	1979	319	692	1490
250	1050	1537	1850	342	789	1646
250	1100	1548	1965	322	871	1657
250	1150	1434	1735	275	739	1595
250	1200	1471	1714	320	765	1823
250	1250	1448	1869	340	715	1488
250	1300	1450	1805	281	744	1619
250	1350	1497	1815	334	770	1705
250	1400	1542	2040	314	738	1536
250	1450	1503	1644	280	711	1700
250	1500	1542	1780	292	682	1610
250	1550	1558	1835	279	675	1514
250	1600	1626	1832	300	702	1487
250	1650	1631	1860	270	632	1460
250	1700	1646	2017	282	690	1384
250	1750	1621	1890	289	676	1386
250	1800	1658	2001	317	634	1320
250	1850	1675	1815	263	474	1173
250	1900	1688	1642	235	451	841
250	1950	1503	1180	153	289	651
250	2000	582	290	55	82	325
250	2050	7	5	1	1	10
300	0	960	854	137	238	432
300	50	1604	1569	176	442	566
300	100	1720	1786	219	642	842
300	150	1760	1736	218	623	961
300	200	1897	2087	245	819	985
300	250	1569	2020	253	557	820
300	300	1934	1947	320	735	1073
300	350	1744	2174	301	750	1284
300	400	1693	2021	314	804	1339
300	450	1590	1932	290	709	1291
300	500	1610	1903	335	755	1546
300	550	1511	2009	337	719	1422
300	600	1592	1866	375	699	1739
300	650	1523	1865	304	779	1540
300	700	1554	1883	331	707	1624
300	750	1519	1981	350	807	1686
300	800	1513	1740	314	847	1706
300	850	1449	1885	308	775	1495
300	900	1422	1890	316	711	1549
300	950	1522	1914	308	747	1706
300	1000	1513	1913	311	768	1751
300	1050	1588	2043	339	846	1858
300	1100	1588	1811	309	808	1814
300	1150	1429	1731	274	685	1651
300	1200	1434	1720	299	661	1664
300	1250	1426	1796	284	649	1717
300	1300	1489	1945	320	792	1692
300	1350	1409	1539	314	698	1771
300	1400	1471	1657	313	738	1781
300	1450	1532	1676	312	732	1811
300	1500	1530	1594	295	857	1939
300	1550	1550	1875	299	726	1846
300	1600	1545	1807	302	717	1697
300	1650	1516	1704	298	749	1520
300	1700	1468	1819	279	699	1248
300	1750	1590	1874	282	684	1408
300	1800	1708	1968	275	632	1459
300	1850	1613	1967	285	673	1322
300	1900	1618	1802	234	671	1245
300	1950	1656	1792	227	532	866
300	2000	1656	1528	150	374	716
300	2050	974	584	60	127	400
300	2100	33	19	1	5	24
350	0	1014	1065	161	245	396
350	50	1644	1870	234	528	653
350	100	1804	1966	230	685	953
350	150	1928	2157	259	864	1177
350	200	1841	2197	266	811	1305
350	250	1863	1882	322	830	1436
350	300	1654	2105	312	757	1232
350	350	1632	1800	319	891	1577
350	400	1534	1822	327	768	1525
350	450	1574	1833	352	738	1587
350	500	1574	2008	379	778	1572
350	550	1519	1881	297	739	1691
350	600	1424	1749	304	695	1614
350	650	1465	1854	307	771	1575
350	700	1498	1770	327	720	1684
350	750	1503	1655	333	721	1927
350	800	1508	1921	340	750	1574
350	850	1495	1721	332	732	1876
350	900	1463	1637	331	761	1727
350	950	1418	1621	297	682	1831
350	1000	1445	1723	325	748	1773
350	1050	1435	1781	317	774	1680
350	1100	1440	1727	311	710	1717
350	1150	1450	1761	297	730	1676
350	1200	1434	1773	308	728	1574
350	1250	1496	1899	321	737	1745
350	1300	1503	1758	319	720	1843
350	1350	1420	1718	330	719	1693
350	1400	1551	1837	327	730	1797
350	1450	715	792	175	402	964
350	1500	1512	1585	307	749	1893
350	1550	1511	1731	300	650	1670
350	1600	1504	1736	299	760	1624
350	1650	1532	1835	297	787	1501
350	1700	1609	1910	322	737	1653
350	1750	1536	1711	291	708	1561
350	1800	1540	1776	292	662	1507
350	1850	1600	2071	289	614	1292
350	1900	1524	1917	269	711	1398
350	1950	1524	1818	246	639	1153
350	2000	1591	1742	214	543	985
350	2050	1646	1603	138	393	745
350	2100	1273	910	104	213	409
350	2150	175	78	10	18	86
400	0	1108	1155	195	266	467
400	50	1750	2072	252	508	595
400	100	1901	1986	239	751	1093
400	150	1845	1998	276	838	1455
400	200	1932	2062	326	826	1501
400	250	1752	2139	300	793	1291
400	300	1606	2027	325	788	1354
400	350	1615	1872	305	812	1420
400	400	1511	1816	307	720	1437
400	450	1624	1875	343	718	1715
400	500	1556	1804	318	755	1611
400	550	1490	1822	344	740	1539
400	600	1423	1745	326	670	1463
400	650	1449	1770	324	742	1541
400	700	1496	1875	356	752	1623
400	750	1479	1777	346	694	1574
400	800	1439	1685	303	709	1660
400	850	1438	1803	330	737	1597
400	900	1459	1768	313	716	1686
400	950	1484	1724	299	797	1724
400	1000	1517	1812	319	669	1787
400	1050	1420	1796	335	798	1720
400	1100	1459	1787	291	777	1755
400	1150	1511	1871	334	789	1824
400	1200	1423	1696	308	696	1667
400	1250	1457	1849	308	691	1693
400	1300	1447	1654	330	771	1696
400	1350	1463	1601	293	779	1754
400	1400	1494	1657	344	679	1833
400	1450	1495	1695	296	776	1731
400	1500	1556	1829	286	722	1733
400	1550	1563	1747	294	753	1803
400	1600	1517	1705	298	749	1709
400	1650	1528	1646	275	762	1679
400	1700	1525	1732	332	713	1728
400	1750	1565	1726	304	781	1651
400	1800	1553	1989	298	734	1599
400	1850	1580	1946	263	656	1511
400	1900	1557	2098	264	738	1261
400	1950	1523	1754	276	712	1192
400	2000	1624	2005	254	642	1200
400	2050	1526	1680	192	611	911
400	2100	1579	1647	170	379	723
400	2150	1220	913	81	177	398
400	2200	152	94	16	22	67
450	0	1364	1455	268	325	663
450	50	1761	2148	206	574	663
450	100	1842	2202	249	685	1073
450	150	1995	2005	311	821	1546
450	200	1845	1937	318	711	1485
450	250	1603	1935	284	699	1196
450	300	1502	1874	280	713	1127
450	350	1537	1736	314	691	1435
450	400	1576	1968	327	756	1488
450	450	1486	1757	299	668	1643
450	500	1467	1707	329	739	1552
450	550	1470	1720	339	833	1849
450	600	1488	1692	315	725	1666
450	650	1444	1806	316	699	1441
450	700	1493	1709	354	705	1631
450	750	1461	1869	335	713	1620
450	800	1467	1784	332	753	1750
450	850	1487	1762	330	787	1686
450	900	1458	1728	308	811	1700
450	950	1439	1793	330	753	1608
450	1000	1498	1725	274	934	1823
450	1050	1515	1831	292	777	1806
450	1100	1427	1596	289	679	1839
450	1150	1558	1926	336	818	1840
450	1200	1501	1804	279	805	1687
450	1250	1531	1636	317	812	2139
450	1300	1527	1924	323	718	1653
450	1350	1535	1937	297	758	1716
450	1400	1531	1652	310	803	1939
450	1450	1535	1769	314	786	1738
450	1500	1586	1938	295	793	1774
450	1550	1541	1642	301	810	1990
450	1600	1566	1742	310	706	1802
450	1650	1544	1772	308	705	1582
450	1700	1518	1719	276	716	1537
450	1750	1598	1750	304	742	1735
450	1800	1583	2038	296	702	1502
450	1850	1547	1837	316	716	1529
450	1900	1509	1769	275	568	1269
450	1950	1508	1724	242	579	1164
450	2000	1525	1810	238	594	1190
450	2050	1481	1739	252	546	1090
450	2100	1517	1554	212	494	1106
450	2150	1588	1657	181	419	757
450	2200	1385	1075	119	215	560
450	2250	236	121	22	21	164
500	0	1444	1448	233	358	668
500	50	1696	2028	220	597	751
500	100	1777	2275	268	797	1123
500	150	1851	2540	317	826	1318
500	200	1712	1994	321	680	1470
500	250	1510	1907	301	597	1208
500	300	1534	2092	273	657	1293
500	350	1560	1979	335	665	1280
500	400	1503	1823	273	724	1475
500	450	1491	1743	328	753	1590
500	500	1400	1578	278	678	1555
500	550	1450	1699	275	748	1572
500	600	1468	1829	303	714	1493
500	650	1512	1787	326	850	1633
500	700	1457	1823	334	758	1610
500	750	1435	1618	337	811	1733
500	800	1480	1733	285	779	1790
500	850	1469	1836	279	739	1698
500	900	1464	1742	301	715	1613
500	950	1407	1705	307	720	1596
500	1000	1455	1871	315	683	1696
500	1050	1479	1792	298	714	1741
500	1100	1452	1765	325	791	1827
500	1150	1469	1774	307	748	1670
500	1200	1538	1775	304	821	1966
500	1250	1567	1686	293	789	1963
500	1300	1488	1883	282	729	1537
